Focal plane X resolution,FocalPlaneXResolution,41486,A20E,RATIONAL,1
Focal plane Y resolution,FocalPlaneYResolution,41487,A20F,RATIONAL,1
Focal plane resolution unit,FocalPlaneResolutionUnit,41488,A210,SHORT,1
Subject location,SubjectLocation,41492,A214,SHORT,2
Exposure index,ExposureIndex,41493,A215,RATIONAL,1
Sensing method,SensingMethod,41495,A217,SHORT,1
File source,FileSource,41728,A300,UNDEFINED,1
Scene type,SceneType,41729,A301,UNDEFINED,1
CFA pattern,CFAPattern,41730,A302,UNDEFINED,Any
Custom image processing,CustomRendered,41985,A401,SHORT,1
Exposure mode,ExposureMode,41986,A402,SHORT,1
White balance,WhiteBalance,41987,A403,SHORT,1
Digital zoom ratio,DigitalZoomRatio,41988,A404,RATIONAL,1
Focal length in 35 mm film,FocalLengthIn35mmFilm,41989,A405,SHORT,1
Scene capture type,SceneCaptureType,41990,A406,SHORT,1
Gain control,GainControl,41991,A407,RATIONAL,1
Contrast,Contrast,41992,A408,SHORT,1
Saturation,Saturation,41993,A409,SHORT,1
Sharpness,Sharpness,41994,A40A,SHORT,1
Device settings description,DeviceSettingDescription,41995,A40B,UNDEFINED,Any
Subject distance range,SubjectDistanceRange,41996,A40C,SHORT,1
Source image number of composite image,SourceImageNumberOfCompositeImage,42081,A461,SHORT,2
Source exposure times of composite image,SourceExposureTimesOfCompositeImage,42082,A462,UNDEFINED,Any

Exif,,G2. Tags Relating to shooting situation,,,
Temperature,Temperature,37888,9400,SRATIONAL,1
Humidity,Humidity,37889,9401,RATIONAL,1
Pressure,Pressure,37890,9402,RATIONAL,1
WaterDepth,WaterDepth,37891,9403,SRATIONAL,1
Acceleration,Acceleration,37892,9404,RATIONAL,1
Camera elevation angle,CameraElevationAngle,37893,9405,SRATIONAL,1

Exif,,H. Other Tags,,,
Unique image ID,ImageUniqueID,42016,A420,ASCII,33
Camera Owner Name,CameraOwnerName,42032,A430,ASCII,Any
Body Serial Number,BodySerialNumber,42033,A431,ASCII,Any
Lens Specification,LensSpecification,42034,A432,RATIONAL,4
Lens Make,LensMake,42035,A433,ASCII,Any
Lens Model,LensModel,42036,A434,ASCII,Any
Lens Serial Number,LensSerialNumber,42037,A435,ASCII,Any

GPS,,Tags Relating to GPS,,,
GPS tag version,GPSVersionID,0,0,BYTE,4
North or South Latitude,GPSLatitudeRef,1,1,ASCII,2
Latitude,GPSLatitude,2,2,RATIONAL,3
East or West Longitude,GPSLongitudeRef,3,3,ASCII,2
Longitude,GPSLongitude,4,4,RATIONAL,3
Altitude reference,GPSAltitudeRef,5,5,BYTE,1
Altitude,GPSAltitude,6,6,RATIONAL,1
GPS time (atomic clock),GPSTimeStamp,7,7,RATIONAL,3
GPS satellites used for measurement,GPSSatellites,8,8,ASCII,Any
GPS receiver status,GPSStatus,9,9,ASCII,2
GPS measurement mode,GPSMeasureMode,10,A,ASCII,2
Measurement precision,GPSDOP,11,B,RATIONAL,1
Speed unit,GPSSpeedRef,12,C,ASCII,2
Speed of GPS receiver,GPSSpeed,13,D,RATIONAL,1
Reference for direction of movement,GPSTrackRef,14,E,ASCII,2
Direction of movement,GPSTrack,15,F,RATIONAL,1
Reference for direction of image,GPSImgDirectionRef,16,10,ASCII,2
Direction of image,GPSImgDirection,17,11,RATIONAL,1
Geodetic survey data used,GPSMapDatum,18,12,ASCII,Any
Reference for latitude of destination,GPSDestLatitudeRef,19,13,ASCII,2
Latitude of destination,GPSDestLatitude,20,14,RATIONAL,3
Reference for longitude of destination,GPSDestLongitudeRef,21,15,ASCII,2
Longitude of destination,GPSDestLongitude,22,16,RATIONAL,3
Reference for bearing of destination,GPSDestBearingRef,23,17,ASCII,2
Bearing of destination,GPSDestBearing,24,18,RATIONAL,1
Reference for distance to destination,GPSDestDistanceRef,25,19,ASCII,2
Distance to destination,GPSDestDistance,26,1A,RATIONAL,1
Name of GPS processing method,GPSProcessingMethod,27,1B,UNDEFINED,Any
Name of GPS area,GPSAreaInformation,28,1C,UNDEFINED,Any
GPS date,GPSDateStamp,29,1D,ASCII,11
GPS differential correction,GPSDifferential,30,1E,SHORT,1
Horizontal positioning error,GPSHPositioningError,31,1F,RATIONAL,1
